epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,334.292,0,42.9356,0,0.00351,0.2,0.00376,0.00147,3.02477,4.10775,3.01914,0.000356571,0.000356571,0.000356571
47,340.795,0,42.9316,0,0.00333,0.2,0.00373,0.00141,3.21596,4.11029,3.09798,0.000357987,0.000357987,0.000357987
48,347.52,0,42.4601,0,0.00333,0.2,0.00373,0.00141,3.21596,4.11029,3.09798,0.000359121,0.000359121,0.000359121
49,353.523,0,42.4647,0,0.00324,0.2,0.00409,0.00175,3.41858,4.12196,3.19068,0.000359971,0.000359971,0.000359971
50,360.973,0,42.1296,0,0.00324,0.2,0.00409,0.00175,3.41858,4.12196,3.19068,0.000360538,0.000360538,0.000360538
51,367.005,0,42.2642,0,0.00312,0.2,0.0036,0.00141,3.62266,4.09943,3.29232,0.000360822,0.000360822,0.000360822
52,374.319,0,41.5374,0,0.00312,0.2,0.0036,0.00141,3.62266,4.09943,3.29232,0.000360824,0.000360824,0.000360824
53,380.122,0,41.7047,0,0.00312,0.2,0.0036,0.00141,3.62266,4.09943,3.29232,0.000360542,0.000360542,0.000360542
54,387.15,0,41.6504,0,0.003,0.2,0.00502,0.00128,3.72572,4.06331,3.34208,0.000359978,0.000359978,0.000359978
55,393.97,0,41.107,0,0.003,0.2,0.00502,0.00128,3.72572,4.06331,3.34208,0.000359131,0.000359131,0.000359131
56,399.886,0,41.2651,0,0.003,0.2,0.00502,0.00128,3.72572,4.06331,3.34208,0.000358,0.000358,0.000358
57,407.211,0,41.302,0,0.00296,0.2,0.0045,0.0017,3.75021,4.06089,3.3733,0.000356587,0.000356587,0.000356587
58,413.419,0,40.7402,0,0.00296,0.2,0.0045,0.0017,3.75021,4.06089,3.3733,0.000354891,0.000354891,0.000354891
59,421.578,0,40.7922,0,0.00296,0.2,0.0045,0.0017,3.75021,4.06089,3.3733,0.000352912,0.000352912,0.000352912
60,430.003,0,40.8874,0,0.00294,0.2,0.00414,0.00112,3.7274,4.05855,3.36323,0.000350649,0.000350649,0.000350649
61,437.827,0,40.4475,0,0.00294,0.2,0.00414,0.00112,3.7274,4.05855,3.36323,0.000348104,0.000348104,0.000348104
62,444.079,0,40.6467,0,0.00294,0.2,0.00414,0.00112,3.7274,4.05855,3.36323,0.000345276,0.000345276,0.000345276
63,451.849,0,40.4462,0,0.00292,0.2,0.00406,0.00141,3.70752,4.05561,3.35869,0.000342165,0.000342165,0.000342165
64,458.443,0,40.0422,0,0.00292,0.2,0.00406,0.00141,3.70752,4.05561,3.35869,0.000338772,0.000338772,0.000338772
65,466.175,0,40.1284,0,0.00292,0.2,0.00406,0.00141,3.70752,4.05561,3.35869,0.000335095,0.000335095,0.000335095
66,472.066,0,40.142,0,0.00294,0.2,0.00439,0.00149,3.74212,4.06815,3.35722,0.000331135,0.000331135,0.000331135
67,479.735,0,39.7602,0,0.00294,0.2,0.00439,0.00149,3.74212,4.06815,3.35722,0.000326892,0.000326892,0.000326892
68,486.027,0,39.7715,0,0.00294,0.2,0.00439,0.00149,3.74212,4.06815,3.35722,0.000322367,0.000322367,0.000322367
69,493.039,0,39.5764,0,0.00299,0.2,0.00317,0.00118,3.79603,4.0686,3.38344,0.000317558,0.000317558,0.000317558
70,499.355,0,39.3891,0,0.00299,0.2,0.00317,0.00118,3.79603,4.0686,3.38344,0.000312467,0.000312467,0.000312467
71,505.863,0,39.4531,0,0.00299,0.2,0.00317,0.00118,3.79603,4.0686,3.38344,0.000307092,0.000307092,0.000307092
72,512.806,0,39.3838,0,0.00299,0.2,0.00323,0.00127,3.87625,4.09981,3.43036,0.000301435,0.000301435,0.000301435
73,518.85,0,38.9992,0,0.00299,0.2,0.00323,0.00127,3.87625,4.09981,3.43036,0.000295494,0.000295494,0.000295494
74,526.259,0,39.1277,0,0.00299,0.2,0.00323,0.00127,3.87625,4.09981,3.43036,0.000289271,0.000289271,0.000289271
75,532.031,0,39.0293,0,0.00297,0.2,0.00477,0.00123,3.9071,4.11653,3.43524,0.000282765,0.000282765,0.000282765
76,539.518,0,38.7277,0,0.00297,0.2,0.00477,0.00123,3.9071,4.11653,3.43524,0.000275976,0.000275976,0.000275976
77,545.784,0,38.8007,0,0.00297,0.2,0.00477,0.00123,3.9071,4.11653,3.43524,0.000268904,0.000268904,0.000268904
78,552.828,0,38.7426,0,0.00291,0.2,0.00456,0.00129,3.92678,4.13068,3.44702,0.000261548,0.000261548,0.000261548
79,559.351,0,38.5917,0,0.00291,0.2,0.00456,0.00129,3.92678,4.13068,3.44702,0.00025391,0.00025391,0.00025391
80,566.195,0,38.5242,0,0.00291,0.2,0.00456,0.00129,3.92678,4.13068,3.44702,0.000245989,0.000245989,0.000245989
81,573.297,0,38.4978,0,0.0029,0.2,0.00403,0.00115,3.99058,4.11041,3.45257,0.000237786,0.000237786,0.000237786
